#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,Animal_name,_field,_measurement,airborne
,,184,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,eggs,zoo-data,0
,,185,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,milk,zoo-data,0
,,186,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,tail,zoo-data,0
,,187,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T20:41:52.272977435Z,1,penguin,eggs,zoo-data,0
,,188,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,predator,zoo-data,0
,,189,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,eggs,zoo-data,0
,,190,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,4,chub,type,zoo-data,0
,,191,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,legs,zoo-data,0
,,192,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,aquatic,zoo-data,0
,,193,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,1,flamingo,breathes,zoo-data,1
,,194,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T20:41:52.272977435Z,1,penguin,predator,zoo-data,0
,,195,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,catsize,zoo-data,0
,,196,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,type,zoo-data,0
,,197,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,1,crab,predator,zoo-data,0
,,198,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,aquatic,zoo-data,0
,,199,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,legs,zoo-data,0
,,200,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,2,flamingo,legs,zoo-data,1
,,201,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T20:41:52.272977435Z,1,penguin,backbone,zoo-data,0
,,202,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,0,dolphin,eggs,zoo-data,0
,,203,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,milk,zoo-data,0
,,204,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,toothed,zoo-data,0
,,205,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,4,catfish,type,zoo-data,0
,,206,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,catsize,zoo-data,0
,,207,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,6,flea,legs,zoo-data,0
,,208,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T20:41:52.272977435Z,0,penguin,venomous,zoo-data,0
,,209,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,fins,zoo-data,0
,,210,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,toothed,zoo-data,0
,,211,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,fins,zoo-data,0
,,212,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,hair,zoo-data,0
,,213,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,milk,zoo-data,0
,,214,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,0,frog,feathers,zoo-data,0
,,214,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,0,frog,feathers,zoo-data,0
,,215,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T22:17:45.932856356Z,0,pheasant,venomous,zoo-data,1
,,216,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,0,dolphin,legs,zoo-data,0
,,217,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,fins,zoo-data,0
,,218,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,domestic,zoo-data,0
,,219,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,domestic,zoo-data,0
,,220,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,4,crab,legs,zoo-data,0
,,221,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,1,frog,breathes,zoo-data,0
,,221,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,1,frog,breathes,zoo-data,0
,,222,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T22:17:45.932856356Z,0,pheasant,domestic,zoo-data,1
,,223,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,0,dove,milk,zoo-data,1
,,224,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,tail,zoo-data,0
,,225,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,toothed,zoo-data,0
,,226,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,catsize,zoo-data,0
,,227,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,1,crayfish,aquatic,zoo-data,0
,,228,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,5,frog,type,zoo-data,0
,,228,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,5,frog,type,zoo-data,0
,,229,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T22:17:45.932856356Z,0,pheasant,catsize,zoo-data,1
,,230,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,0,dove,venomous,zoo-data,1
,,231,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,milk,zoo-data,1
,,232,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,6,crayfish,legs,zoo-data,0
,,233,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,hair,zoo-data,1
,,234,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,fins,zoo-data,0
,,235,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,0,fruitbat,feathers,zoo-data,1
,,236,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T23:53:39.592735277Z,1,pike,predator,zoo-data,0
,,237,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,1,duck,feathers,zoo-data,1
,,238,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,aquatic,zoo-data,1
,,239,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,1,crow,eggs,zoo-data,1
,,240,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,aquatic,zoo-data,0
,,241,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,1,crow,breathes,zoo-data,1
,,242,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,0,fruitbat,predator,zoo-data,1
,,243,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T01:29:33.252614199Z,1,piranha,eggs,zoo-data,0
,,244,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,0,duck,toothed,zoo-data,1
,,245,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,breathes,zoo-data,1
,,246,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,milk,zoo-data,1
,,247,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,domestic,zoo-data,0
,,248,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,1,crow,tail,zoo-data,1
,,249,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,0,fruitbat,fins,zoo-data,1
,,250,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T03:05:26.91249312Z,1,pitviper,backbone,zoo-data,0
,,251,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,1,duck,tail,zoo-data,1
,,252,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,predator,zoo-data,0
,,253,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,aquatic,zoo-data,1
,,254,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,feathers,zoo-data,0
,,255,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,0,deer,eggs,zoo-data,0
,,256,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,0,fruitbat,catsize,zoo-data,1
,,257,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T03:05:26.91249312Z,1,pitviper,breathes,zoo-data,0
,,258,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,fins,zoo-data,0
,,259,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,hair,zoo-data,0
,,260,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,toothed,zoo-data,1
,,261,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,catsize,zoo-data,0
,,262,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,1,dove,tail,zoo-data,1
,,263,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T20:45:02.476609796Z,0,giraffe,domestic,zoo-data,0
,,264,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T04:41:20.572372041Z,0,platypus,fins,zoo-data,0
,,265,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,type,zoo-data,0
,,266,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,1,clam,eggs,zoo-data,0
,,267,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,fins,zoo-data,1
,,268,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,feathers,zoo-data,0
,,269,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,0,dove,catsize,zoo-data,1
,,270,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T22:20:56.136488717Z,0,girl,eggs,zoo-data,0
,,271,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T04:41:20.572372041Z,0,platypus,domestic,zoo-data,0
,,272,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,feathers,zoo-data,0
,,273,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,predator,zoo-data,1
,,274,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,backbone,zoo-data,0
,,275,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,catsize,zoo-data,1
,,276,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,catsize,zoo-data,0
,,277,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,0,duck,milk,zoo-data,1
,,278,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T22:20:56.136488717Z,1,girl,toothed,zoo-data,0
,,279,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T06:17:14.232250963Z,0,polecat,aquatic,zoo-data,0
,,280,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,milk,zoo-data,0
,,281,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,1,flamingo,backbone,zoo-data,1
,,282,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,venomous,zoo-data,0
,,283,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,feathers,zoo-data,0
,,284,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,1,deer,hair,zoo-data,0
,,285,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,0,duck,predator,zoo-data,1
,,286,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T23:56:49.796367638Z,0,gnat,predator,zoo-data,1
,,287,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T06:17:14.232250963Z,0,polecat,venomous,zoo-data,0
,,288,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,feathers,zoo-data,0
,,289,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,domestic,zoo-data,1
,,290,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,domestic,zoo-data,0
,,291,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,fins,zoo-data,0
,,292,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,1,deer,toothed,zoo-data,0
,,293,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,2,duck,type,zoo-data,1
,,294,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T23:56:49.796367638Z,1,gnat,breathes,zoo-data,1
,,295,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T07:53:07.892129884Z,0,pony,venomous,zoo-data,0
,,296,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,feathers,zoo-data,0
,,297,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,0,flea,hair,zoo-data,0
,,298,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,hair,zoo-data,0
,,299,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,domestic,zoo-data,0
,,300,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,backbone,zoo-data,0
,,301,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,predator,zoo-data,0
,,302,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T23:56:49.796367638Z,0,gnat,catsize,zoo-data,1
,,303,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T09:29:01.552008805Z,1,porpoise,tail,zoo-data,0
,,304,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,aquatic,zoo-data,0
,,305,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,1,flea,breathes,zoo-data,0
,,306,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,7,crab,type,zoo-data,0
,,307,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,4,dogfish,type,zoo-data,0
,,308,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,venomous,zoo-data,0
,,309,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,backbone,zoo-data,0
,,310,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T01:32:43.45624656Z,1,goat,hair,zoo-data,0
,,311,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T11:04:55.211887727Z,0,puma,aquatic,zoo-data,0
,,312,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,backbone,zoo-data,0
,,313,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,0,flea,venomous,zoo-data,0
,,314,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,7,crayfish,type,zoo-data,0
,,315,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,milk,zoo-data,0
,,316,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,tail,zoo-data,0
,,317,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,domestic,zoo-data,0
,,318,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T01:32:43.45624656Z,0,goat,aquatic,zoo-data,0
,,319,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T11:04:55.211887727Z,1,puma,toothed,zoo-data,0
,,320,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,backbone,zoo-data,0
,,321,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,1,frog,eggs,zoo-data,0
,,321,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,1,frog,eggs,zoo-data,0
,,322,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,hair,zoo-data,1
,,323,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,aquatic,zoo-data,0
,,324,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,toothed,zoo-data,0
,,325,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,catsize,zoo-data,0
,,326,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T04:44:30.776004402Z,0,gull,catsize,zoo-data,1
,,327,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T11:04:55.211887727Z,0,puma,fins,zoo-data,0
,,328,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,venomous,zoo-data,0
,,329,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,1,frog,toothed,zoo-data,0
,,329,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,1,frog,toothed,zoo-data,0
,,330,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,1,crow,backbone,zoo-data,1
,,331,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,backbone,zoo-data,0
,,332,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,type,zoo-data,0
,,333,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,hair,zoo-data,1
,,334,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T06:20:24.435883324Z,0,haddock,breathes,zoo-data,0
,,335,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T12:40:48.871766648Z,1,pussycat,predator,zoo-data,0
,,336,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,catsize,zoo-data,0
,,337,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,0,frog,fins,zoo-data,0
,,337,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,0,frog,fins,zoo-data,0
,,338,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,domestic,zoo-data,1
,,339,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,1,dove,eggs,zoo-data,1
,,340,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,1,dove,breathes,zoo-data,1
,,341,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,toothed,zoo-data,1
,,342,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T07:56:18.095762245Z,0,hamster,aquatic,zoo-data,0
,,343,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T15:52:36.19152449Z,0,reindeer,aquatic,zoo-data,0
,,344,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,breathes,zoo-data,0
,,345,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,1,fruitbat,toothed,zoo-data,1
,,346,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,0,deer,aquatic,zoo-data,0
,,347,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,1,duck,backbone,zoo-data,1
,,348,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,aquatic,zoo-data,0
,,349,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,fins,zoo-data,1
,,350,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T09:32:11.755641166Z,0,hare,fins,zoo-data,0
,,351,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T15:52:36.19152449Z,1,reindeer,type,zoo-data,0
,,352,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,fins,zoo-data,0
,,353,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T19:09:08.816730875Z,0,fruitbat,venomous,zoo-data,1
,,354,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,1,deer,breathes,zoo-data,0
,,355,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,1,duck,breathes,zoo-data,1
,,356,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,0,flea,feathers,zoo-data,0
,,357,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,2,flamingo,type,zoo-data,1
,,358,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T09:32:11.755641166Z,4,hare,legs,zoo-data,0
,,359,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-05T17:28:29.851403412Z,0,rhea,venomous,zoo-data,0
,,360,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,1,crab,eggs,zoo-data,0
,,361,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T20:45:02.476609796Z,1,giraffe,milk,zoo-data,0
,,362,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,4,deer,legs,zoo-data,0
,,363,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,0,duck,venomous,zoo-data,1
,,364,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,0,flea,backbone,zoo-data,0
,,365,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,6,flea,type,zoo-data,0
